,Conf,MP_C,PTS_C,TRB_C,AST_C,FG%_C,3P%_C,Player Name,SOS,School,FT%_C,Pk,Tm,Yrs,DRAFT_YEAR,MP.1,PTS.1,TRB.1,AST.1,FG%,3P%,Player,FT%
776,ACC,24.9,10.9,2.5,1.7,0.473,0.395,Frank Jackson,10.91,Duke,0.755,31,CHO,1.0,2017,12.4,4.6,0.7,0.6,0.365,0.29600000000000004,Frank Jackson,0.7140000000000001
777,ACC,35.3,14.9,4.8,2.4,0.433,0.397,Davon Reed,9.57,Miami (FL),0.833,32,PHO,2.0,2017,10.3,2.6,1.6,0.5,0.289,0.289,Davon Reed,0.667
778,Big 12,31.4,13.0,6.3,3.5,0.48100000000000004,0.376,Wesley Iwundu,10.48,Kansas State,0.767,33,ORL,2.0,2017,16.9,4.0,2.2,0.9,0.41700000000000004,0.222,Wesley Iwundu,0.743
779,Big 12,36.1,20.9,4.2,5.2,0.49,0.47100000000000003,Frank Mason,12.23,Kansas,0.794,34,SAC,2.0,2017,17.7,7.3,2.2,2.9,0.381,0.311,Frank Mason,0.8009999999999999
780,Pac-12,32.6,14.0,10.5,1.5,0.484,0.4,Ivan Rabb,6.34,California,0.6629999999999999,35,ORL,2.0,2017,12.9,5.0,4.0,0.8,0.57,0.0,Ivan Rabb,0.78
781,AAC,34.1,19.0,6.9,1.5,0.48700000000000004,0.424,Semi Ojeleye,4.45,SMU,0.785,37,BOS,2.0,2017,15.0,2.7,2.1,0.2,0.355,0.31,Semi Ojeleye,0.583
782,Pac-12,28.8,10.9,8.8,1.8,0.636,0.214,Jordan Bell,8.38,Oregon,0.701,38,CHI,2.0,2017,13.6,4.1,3.3,1.6,0.619,0.0,Jordan Bell,0.6890000000000001
783,Big 12,29.3,19.2,3.4,6.4,0.43799999999999994,0.379,Jawun Evans,12.22,Oklahoma State,0.812,39,PHI,1.0,2017,16.2,4.8,1.8,2.1,0.35200000000000004,0.278,Jawun Evans,0.7759999999999999
784,ACC,28.8,17.2,4.2,1.7,0.452,0.33299999999999996,Dwayne Bacon,8.87,Florida State,0.754,40,NOP,2.0,2017,13.6,4.0,2.3,0.8,0.406,0.33899999999999997,Dwayne Bacon,0.8109999999999999
785,Pac-12,30.0,14.6,3.5,1.7,0.467,0.423,Tyler Dorsey,8.38,Oregon,0.755,41,ATL,2.0,2017,16.3,6.6,2.2,1.3,0.373,0.35100000000000003,Tyler Dorsey,0.667
786,Big Ten,28.1,12.6,6.6,1.5,0.519,0.38299999999999995,Thomas Bryant,8.15,Indiana,0.73,42,UTA,2.0,2017,6.5,2.7,1.7,0.5,0.48100000000000004,0.105,Thomas Bryant,0.684
787,AAC,34.3,17.4,6.9,1.1,0.47,0.44299999999999995,Damyean Dotson,3.42,Houston,0.83,44,NYK,2.0,2017,14.9,5.6,2.6,0.8,0.439,0.32299999999999995,Damyean Dotson,0.6759999999999999
788,Pac-12,25.3,16.1,3.2,2.7,0.488,0.401,Dillon Brooks,8.38,Oregon,0.754,45,HOU,2.0,2017,27.5,10.5,3.0,1.6,0.43799999999999994,0.35700000000000004,Dillon Brooks,0.75
789,Pac-10,4.9,1.9,0.8,0.5,0.526,0.33299999999999996,Sterling Brown,10.1,Washington,0.667,46,PHI,2.0,2017,13.3,3.9,2.5,0.5,0.40399999999999997,0.33,Sterling Brown,0.867
790,Pac-12,13.0,4.7,4.0,0.2,0.564,,Ike Anigbogu,6.39,UCLA,0.535,47,IND,2.0,2017,2.6,1.0,0.8,0.1,0.33299999999999996,,Ike Anigbogu,0.833
791,SEC,33.9,21.4,7.1,2.8,0.444,0.392,Sindarius Thornwell,10.16,South Carolina,0.83,48,MIL,2.0,2017,15.2,3.6,1.9,0.9,0.426,0.365,Sindarius Thornwell,0.685
792,Big 12,35.3,16.4,4.8,6.2,0.465,0.37799999999999995,Monte Morris,11.94,Iowa State,0.802,51,DEN,2.0,2017,21.7,8.0,2.3,3.8,0.469,0.415,Monte Morris,0.857
793,Big East,31.7,14.3,4.1,4.8,0.479,0.273,Edmond Sumner,11.51,Xavier,0.735,52,NOP,2.0,2017,3.7,0.7,0.3,0.2,0.4,0.0,Edmond Sumner,0.0
794,Pac-12,30.0,9.8,4.0,3.0,0.45299999999999996,0.42700000000000005,Kadeem Allen,7.63,Arizona,0.741,53,BOS,1.0,2017,5.9,1.1,0.6,0.7,0.273,0.0,Kadeem Allen,0.778
795,Horizon,35.1,23.0,10.1,2.2,0.466,0.363,Alec Peters,-1.59,Valparaiso,0.887,54,PHO,1.0,2017,11.3,4.1,1.9,0.6,0.37799999999999995,0.31,Alec Peters,0.8
796,WCC,32.8,16.8,6.0,4.7,0.486,0.368,Nigel Williams-Goss,4.13,Gonzaga,0.867,55,UTA,,2017,,,,,,,Nigel Williams-Goss,
797,Pac-12,32.0,14.3,4.7,1.0,0.44,0.365,Jabari Bird,6.34,California,0.764,56,BOS,1.0,2017,8.8,3.0,1.5,0.6,0.5770000000000001,0.429,Jabari Bird,0.462
798,ACC,34.3,17.7,6.3,1.5,0.499,0.255,Jaron Blossomgame,9.98,Clemson,0.7140000000000001,59,SAS,,2017,,,,,,,Jaron Blossomgame,
799,Pac-12,33.5,20.1,11.6,1.6,0.612,0.34299999999999997,Deandre Ayton,6.84,Arizona,0.733,1,PHO,1.0,2018,32.3,16.5,10.3,2.8,0.611,0.0,Deandre Ayton,0.75
800,Big 12,35.4,27.4,3.9,8.7,0.42200000000000004,0.36,Trae Young,10.56,Oklahoma,0.861,5,DAL,1.0,2018,29.2,15.6,2.9,7.8,0.386,0.226,Trae Young,0.8270000000000001
801,Big 12,30.2,12.9,10.5,0.5,0.541,0.275,Mohamed Bamba,10.67,Texas,0.6809999999999999,6,ORL,1.0,2018,17.4,6.7,4.5,1.2,0.505,0.265,Mohamed Bamba,0.625
802,ACC,26.9,13.5,9.1,2.0,0.561,0.413,Wendell Carter,9.71,Duke,0.738,7,CHI,1.0,2018,25.4,11.2,7.2,2.2,0.47200000000000003,0.22699999999999998,Wendell Carter,0.823
803,SEC,29.9,19.2,3.8,3.6,0.447,0.336,Collin Sexton,10.64,Alabama,0.778,8,CLE,1.0,2018,27.6,14.6,2.8,2.4,0.46799999999999997,0.46399999999999997,Collin Sexton,0.887
804,SEC,32.4,15.6,5.4,1.4,0.445,0.341,Kevin Knox,10.73,Kentucky,0.774,9,NYK,1.0,2018,18.5,8.2,2.5,0.4,0.34299999999999997,0.348,Kevin Knox,0.68
805,Big East,32.1,17.7,5.3,1.9,0.514,0.435,Mikal Bridges,10.24,Villanova,0.851,10,PHI,1.0,2018,20.7,7.6,1.8,0.9,0.475,0.382,Mikal Bridges,0.87
806,SEC,33.7,14.4,4.1,5.1,0.485,0.40399999999999997,Shai Gilgeous-Alexander,10.73,Kentucky,0.8170000000000001,11,CHO,1.0,2018,27.6,10.4,3.2,2.9,0.457,0.28600000000000003,Shai Gilgeous-Alexander,0.82
807,Big Ten,31.4,17.1,7.0,2.7,0.457,0.364,Miles Bridges,7.1,Michigan State,0.853,12,LAC,1.0,2018,20.9,7.5,4.4,0.9,0.5429999999999999,0.405,Miles Bridges,0.7140000000000001
808,MVC,37.0,16.9,4.2,2.6,0.431,0.426,Jerome Robinson,1.75,Bradley,0.794,13,LAC,1.0,2018,5.0,2.9,0.4,0.1,0.5,0.556,Jerome Robinson,
809,SEC,23.5,4.1,1.7,2.6,0.36,0.33,Michael Porter,4.82,Kentucky,0.773,14,DEN,,2018,,,,,,,Michael Porter,
810,Pac-12,31.2,11.3,6.2,3.2,0.444,0.29100000000000004,Troy Brown,4.84,Oregon,0.743,15,WAS,1.0,2018,5.3,2.5,1.3,0.4,0.43799999999999994,0.5,Troy Brown,1.0
811,Big 12,28.4,11.3,5.0,1.8,0.556,0.45,Zhaire Smith,9.6,Texas Tech,0.7170000000000001,16,PHO,,2018,,,,,,,Zhaire Smith,
812,Big East,29.3,13.4,4.8,3.5,0.48100000000000004,0.401,Donte DiVincenzo,10.24,Villanova,0.71,17,MIL,1.0,2018,18.1,6.4,3.1,1.5,0.425,0.255,Donte DiVincenzo,0.818
813,Big Ten,34.4,14.8,5.0,3.4,0.503,0.41700000000000004,Kevin Huerter,7.94,Maryland,0.758,19,ATL,1.0,2018,19.3,5.5,3.2,1.6,0.37799999999999995,0.353,Kevin Huerter,0.7
814,ACC,36.4,18.2,6.3,2.5,0.41600000000000004,0.38,Josh Okogie,7.47,Georgia Tech,0.821,20,MIN,1.0,2018,21.9,7.5,3.6,1.0,0.369,0.267,Josh Okogie,0.7829999999999999
815,ACC,35.6,15.5,3.3,4.6,0.418,0.37,Grayson Allen,9.71,Duke,0.85,21,UTA,1.0,2018,10.0,4.2,0.2,0.3,0.348,0.276,Grayson Allen,0.769
816,MWC,31.0,20.0,7.7,3.5,0.475,0.359,Chandler Hutchison,3.05,Boise State,0.728,22,CHI,1.0,2018,19.3,5.1,4.0,0.7,0.431,0.21100000000000002,Chandler Hutchison,0.652
817,Pac-12,37.7,20.3,3.7,5.8,0.461,0.429,Aaron Holiday,6.86,UCLA,0.828,23,IND,1.0,2018,10.8,6.4,2.3,1.1,0.444,0.292,Aaron Holiday,0.7859999999999999
818,Big Ten,27.6,14.6,7.1,0.8,0.528,0.39399999999999996,Moritz Wagner,9.41,Michigan,0.6940000000000001,25,LAL,1.0,2018,2.0,0.0,0.0,0.0,0.0,0.0,Moritz Wagner,
819,AAC,31.7,14.9,3.2,5.2,0.489,0.442,Landry Shamet,5.46,Wichita State,0.825,26,PHI,1.0,2018,21.3,7.8,1.2,1.0,0.41700000000000004,0.366,Landry Shamet,0.85
820,A-Sun,20.7,6.8,5.0,0.3,0.493,,Robert Williams,-7.13,Florida Atlantic,0.569,27,BOS,1.0,2018,3.8,1.5,1.2,0.2,1.0,,Robert Williams,0.5
821,AAC,30.8,13.0,4.7,3.1,0.42700000000000005,0.37,Jacob Evans,3.53,Cincinnati,0.754,28,GSW,1.0,2018,5.2,0.5,0.5,0.7,0.2,0.25,Jacob Evans,
822,Big East,28.1,10.9,8.0,0.8,0.47600000000000003,0.433,Omari Spellman,10.24,Villanova,0.7,30,ATL,1.0,2018,18.9,6.4,4.8,1.1,0.387,0.292,Omari Spellman,0.667
823,Big 12,35.5,17.3,4.6,6.6,0.42200000000000004,0.39299999999999996,Jevon Carter,9.36,West Virginia,0.858,32,MEM,,2018,,,,,,,Jevon Carter,
824,Big East,31.8,18.9,3.1,4.6,0.521,0.408,Jalen Brunson,10.24,Villanova,0.802,33,DAL,1.0,2018,13.5,4.6,1.4,1.4,0.41700000000000004,0.28,Jalen Brunson,0.7
825,Big 12,37.8,17.3,4.0,7.2,0.4,0.406,Devonte' Graham,11.87,Kansas,0.8270000000000001,34,ATL,1.0,2018,9.6,2.4,1.0,1.2,0.35700000000000004,0.2,Devonte' Graham,
826,AAC,34.4,15.9,5.6,2.9,0.556,0.385,Melvin Frazier,2.08,Tulane,0.7120000000000001,35,ORL,1.0,2018,5.5,0.0,0.0,0.0,0.0,0.0,Melvin Frazier,
827,ACC,33.9,14.5,4.2,1.4,0.415,0.402,Gary Trent,9.71,Duke,0.8759999999999999,37,SAC,1.0,2018,6.5,5.0,1.5,0.0,0.444,0.667,Gary Trent,
828,Big East,31.7,15.1,4.4,2.8,0.5379999999999999,0.41100000000000003,Khyri Thomas,8.1,Creighton,0.7879999999999999,38,PHI,1.0,2018,5.5,1.5,0.5,0.5,0.25,0.33299999999999996,Khyri Thomas,
829,SEC,17.0,5.9,7.9,1.0,0.426,0.0,Jarred Vanderbilt,10.73,Kentucky,0.632,41,ORL,,2018,,,,,,,Jarred Vanderbilt,
830,MEAC,25.3,10.2,6.4,0.5,0.542,,Bruce Brown,-12.55,Hampton,0.46,42,DET,1.0,2018,14.3,3.6,1.6,0.3,0.344,0.091,Bruce Brown,0.6920000000000001
831,SEC,24.8,10.0,3.6,1.2,0.428,0.33799999999999997,Hamidou Diallo,10.73,Kentucky,0.616,45,BRK,1.0,2018,14.6,6.3,2.8,0.5,0.47,0.267,Hamidou Diallo,0.72
832,Pac-12,27.0,8.3,4.7,3.5,0.43700000000000006,0.284,De'Anthony Melton,6.4,USC,0.706,46,HOU,1.0,2018,10.5,2.5,2.0,0.5,0.28600000000000003,0.25,De'Anthony Melton,
833,Big 12,34.5,14.6,3.9,2.7,0.434,0.444,Sviatoslav Mykhailiuk,11.87,Kansas,0.804,47,LAL,1.0,2018,9.8,2.3,0.5,1.1,0.33299999999999996,0.3,Sviatoslav Mykhailiuk,0.5
834,Big Ten,33.1,19.8,8.7,1.6,0.48,0.359,Keita Bates-Diop,9.03,Ohio State,0.794,48,MIN,1.0,2018,9.0,2.0,1.5,0.0,0.25,0.0,Keita Bates-Diop,
835,Pac-12,31.0,15.7,7.4,1.6,0.523,0.3,Chimezie Metu,6.29,USC,0.73,49,SAS,1.0,2018,5.5,1.9,1.3,0.4,0.389,0.0,Chimezie Metu,0.7140000000000001
836,MVC,31.2,15.0,11.6,2.8,0.43,0.281,Alize Johnson,0.45,Missouri State,0.759,50,IND,1.0,2018,3.0,0.7,1.3,0.0,0.5,,Alize Johnson,0.0
837,Big Ten,35.4,19.6,4.9,5.0,0.408,0.433,Tony Carr,7.79,Penn State,0.799,51,NOP,,2018,,,,,,,Tony Carr,
838,Big Ten,31.6,14.6,7.4,2.9,0.47600000000000003,0.39799999999999996,Vince Edwards,8.74,Purdue,0.833,52,UTA,1.0,2018,4.0,3.0,1.0,0.0,0.5,0.5,Vince Edwards,
839,ACC,32.1,11.7,4.2,3.1,0.45399999999999996,0.43200000000000005,Devon Hall,9.06,Virginia,0.894,53,OKC,,2018,,,,,,,Devon Hall,
840,Sun Belt,32.2,20.5,8.5,2.2,0.446,0.33899999999999997,Kevin Hervey,-1.43,Texas-Arlington,0.807,57,OKC,,2018,,,,,,,Kevin Hervey,
841,Pac-12,33.2,12.6,10.8,1.4,0.485,0.402,Thomas Welsh,6.86,UCLA,0.828,58,DEN,1.0,2018,3.0,1.3,0.8,0.5,0.667,0.5,Thomas Welsh,
842,Pac-12,28.5,12.9,7.8,1.1,0.445,0.395,George King,7.0,Colorado,0.782,59,PHO,,2018,,,,,,,George King,
843,A-10,15.1,5.2,2.9,0.4,0.574,0.133,Kostas Antetokounmpo,2.7,Dayton,0.516,60,PHI,,2018,,,,,,,Kostas Antetokounmpo,
