,Conf,MP_C,PTS_C,TRB_C,AST_C,FG%_C,3P%_C,Player Name,SOS,School,FT%_C,Pk,Tm,Yrs,DRAFT_YEAR,MP.1,PTS.1,TRB.1,AST.1,FG%,3P%,Player,FT%
682,SEC,35.1,16.9,9.2,1.8,0.509,0.26899999999999996,Jarell Martin,5.63,LSU,0.69,25,MEM,4.0,2015,17.8,6.0,3.9,0.7,0.43,0.317,Jarell Martin,0.768
683,Sun Belt,37.0,19.7,4.7,3.6,0.395,0.305,R.J. Hunter,-2.03,Georgia State,0.878,28,BOS,3.0,2015,8.4,2.6,1.0,0.4,0.361,0.282,R.J. Hunter,0.889
684,ACC,28.1,9.3,6.9,1.1,0.478,1.0,Chris McCullough,7.68,Syracuse,0.563,29,BRK,3.0,2015,9.0,3.3,1.9,0.3,0.426,0.306,Chris McCullough,0.5479999999999999
685,Pac-12,30.9,11.6,9.2,1.4,0.47,0.415,Kevon Looney,8.27,UCLA,0.626,30,GSW,4.0,2015,12.2,3.7,3.1,0.7,0.5710000000000001,0.222,Kevon Looney,0.595
686,ACC,35.1,15.7,9.2,1.4,0.5660000000000001,0.243,Montrezl Harrell,8.98,Louisville,0.597,32,HOU,4.0,2015,16.7,9.4,3.8,1.0,0.644,0.133,Montrezl Harrell,0.637
687,SEC,34.9,15.4,9.9,1.3,0.504,0.111,Jordan Mickey,5.63,LSU,0.6459999999999999,33,BOS,3.0,2015,7.5,2.4,2.0,0.3,0.449,0.11800000000000001,Jordan Mickey,0.605
688,Big 12,13.2,2.4,2.1,0.3,0.508,,Anthony Brown,7.44,Oklahoma State,0.594,34,LAL,3.0,2015,18.6,3.9,2.5,0.7,0.32799999999999996,0.28600000000000003,Anthony Brown,0.85
689,ACC,34.3,17.5,9.1,1.5,0.552,0.0,Rakeem Christmas,7.68,Syracuse,0.7120000000000001,36,MIN,2.0,2015,7.5,2.1,1.9,0.1,0.467,,Rakeem Christmas,0.7240000000000001
690,MAC,28.8,14.7,8.0,0.8,0.563,0.419,Richaun Holmes,-1.25,Bowling Green State,0.7120000000000001,37,PHI,4.0,2015,16.4,7.2,4.2,0.9,0.5529999999999999,0.257,Richaun Holmes,0.675
691,Big East,28.8,14.3,3.1,2.1,0.44,0.387,Darrun Hilliard,7.55,Villanova,0.7959999999999999,38,DET,3.0,2015,9.4,3.2,0.9,0.8,0.377,0.304,Darrun Hilliard,0.747
692,Sun Belt,,6.1,2.8,0.5,0.445,0.0,Josh Richardson,1.81,North Texas,0.56,40,MIA,4.0,2015,29.6,11.2,3.1,2.5,0.435,0.385,Josh Richardson,0.799
693,ACC,35.6,12.5,7.4,1.5,0.466,0.423,Pat Connaughton,7.02,Notre Dame,0.7809999999999999,41,BRK,4.0,2015,13.0,4.0,1.8,0.9,0.428,0.358,Pat Connaughton,0.8029999999999999
694,ACC,37.6,19.5,4.2,4.2,0.45399999999999996,0.353,Olivier Hanlan,7.94,Boston College,0.759,42,UTA,,2015,,,,,,,Olivier Hanlan,
695,Pac-12,36.7,20.7,4.4,3.8,0.44799999999999995,0.35700000000000004,Joseph Young,7.65,Oregon,0.925,43,IND,3.0,2015,8.5,3.4,1.0,0.9,0.39299999999999996,0.29600000000000004,Joseph Young,0.768
696,SEC,25.5,9.3,2.2,3.6,0.37799999999999995,0.38299999999999995,Andrew Harrison,8.67,Kentucky,0.792,44,PHO,3.0,2015,21.4,7.3,2.1,2.9,0.376,0.299,Andrew Harrison,0.777
697,Pac-12,34.6,16.4,4.7,2.1,0.456,0.319,Norman Powell,8.27,UCLA,0.7509999999999999,46,MIL,4.0,2015,16.1,6.5,2.0,1.1,0.429,0.32799999999999996,Norman Powell,0.799
698,SEC,16.3,6.4,4.6,0.7,0.506,,Dakari Johnson,8.67,Kentucky,0.625,48,OKC,1.0,2015,5.2,1.8,1.1,0.3,0.564,,Dakari Johnson,0.55
699,Ind,25.3,10.4,2.1,2.7,0.46299999999999997,0.45,Aaron White,-5.7,Texas A&M-Corpus Christi,0.7709999999999999,49,WAS,,2015,,,,,,,Aaron White,
700,Big Sky,36.9,23.1,3.6,2.6,0.469,0.431,Tyler Harvey,-3.84,Eastern Washington,0.852,51,ORL,,2015,,,,,,,Tyler Harvey,
701,Big East,34.6,13.7,7.7,3.0,0.524,0.08,Sir'Dominic Pointer,9.04,St. John's (NY),0.725,53,CLE,,2015,,,,,,,Sir'Dominic Pointer,
702,A-10,29.0,11.6,9.5,0.3,0.552,0.16699999999999998,Cady Lalanne,4.69,UMass,0.636,55,SAS,,2015,,,,,,,Cady Lalanne,
703,Big Ten,30.1,11.9,9.1,1.7,0.535,,Branden Dawson,10.0,Michigan State,0.49,56,NOP,1.0,2015,4.8,0.8,0.7,0.0,0.4,,Branden Dawson,1.0
704,ACC,29.1,8.3,5.6,4.3,0.428,0.375,J.P. Tokoto,11.76,UNC,0.615,58,PHI,,2015,,,,,,,J.P. Tokoto,
705,SEC,34.9,19.2,11.8,4.8,0.56,0.33299999999999996,Ben Simmons,7.0,LSU,0.67,1,PHI,2.0,2016,33.7,15.8,8.3,8.1,0.547,0.0,Ben Simmons,0.5720000000000001
706,ACC,34.6,17.3,6.8,2.0,0.442,0.41,Brandon Ingram,10.59,Duke,0.682,2,LAL,3.0,2016,30.9,12.6,4.6,2.8,0.441,0.332,Brandon Ingram,0.6579999999999999
707,Pac-12,27.6,14.6,5.4,2.0,0.431,0.294,Jaylen Brown,7.87,California,0.654,3,BOS,3.0,2016,24.1,10.4,3.9,1.2,0.452,0.36,Jaylen Brown,0.654
708,Big East,33.0,16.4,5.3,6.2,0.44799999999999995,0.37200000000000005,Kris Dunn,8.46,Providence,0.695,5,MIN,3.0,2016,22.0,7.6,3.0,3.9,0.41100000000000003,0.308,Kris Dunn,0.6940000000000001
709,Big 12,35.4,25.0,5.7,2.0,0.501,0.457,Buddy Hield,11.14,Oklahoma,0.88,6,NOP,3.0,2016,24.9,12.8,3.8,1.8,0.444,0.41700000000000004,Buddy Hield,0.853
710,SEC,35.2,20.0,5.2,2.2,0.45399999999999996,0.408,Jamal Murray,8.84,Kentucky,0.7829999999999999,7,DEN,3.0,2016,27.3,13.7,3.3,2.9,0.431,0.353,Jamal Murray,0.895
711,Pac-12,24.9,13.7,5.4,0.8,0.53,0.35,Marquese Chriss,8.12,Washington,0.682,8,SAC,3.0,2016,20.7,8.3,4.7,0.9,0.43700000000000006,0.305,Marquese Chriss,0.617
712,Pac-12,30.4,17.2,9.1,1.9,0.6459999999999999,,Jakob Poeltl,8.79,Utah,0.6890000000000001,9,TOR,3.0,2016,15.4,5.2,4.1,0.5,0.633,0.5,Jakob Poeltl,0.584
713,WCC,31.9,17.6,11.8,1.8,0.611,0.35700000000000004,Domantas Sabonis,4.23,Gonzaga,0.769,11,ORL,3.0,2016,22.5,9.2,6.0,1.7,0.49200000000000005,0.33799999999999997,Domantas Sabonis,0.726
